"Timestamp UTC";"Timestamp";"Value";"Source";"Measurement";"Unit"
2024-11-20 02.00.00;2024-11-20 09.00.00;150074,359375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 02.00.00;2024-11-20 09.00.00;149226,671875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 02.00.00;2024-11-20 09.00.00;149747,109375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 02.15.00;2024-11-20 09.15.00;150004,90625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 02.15.00;2024-11-20 09.15.00;149508,390625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 02.15.00;2024-11-20 09.15.00;149771,703125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 02.30.00;2024-11-20 09.30.00;149826,375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 02.30.00;2024-11-20 09.30.00;149516,328125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 02.30.00;2024-11-20 09.30.00;149666,109375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 02.45.00;2024-11-20 09.45.00;149921,578125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 02.45.00;2024-11-20 09.45.00;149546,390625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 02.45.00;2024-11-20 09.45.00;149762,296875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 03.00.00;2024-11-20 10.00.00;149760,8125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 03.00.00;2024-11-20 10.00.00;149238,046875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 03.00.00;2024-11-20 10.00.00;149510,75;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 03.15.00;2024-11-20 10.15.00;149630,390625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 03.15.00;2024-11-20 10.15.00;149198,28125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 03.15.00;2024-11-20 10.15.00;149434,40625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 03.30.00;2024-11-20 10.30.00;149745,578125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 03.30.00;2024-11-20 10.30.00;149165,25;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 03.30.00;2024-11-20 10.30.00;149442,8125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 03.45.00;2024-11-20 10.45.00;149719,53125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 03.45.00;2024-11-20 10.45.00;149157,609375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 03.45.00;2024-11-20 10.45.00;149437,375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 04.00.00;2024-11-20 11.00.00;149694,859375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 04.00.00;2024-11-20 11.00.00;149345,734375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 04.00.00;2024-11-20 11.00.00;149504,015625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 04.15.00;2024-11-20 11.15.00;149760,34375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 04.15.00;2024-11-20 11.15.00;149398,34375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 04.15.00;2024-11-20 11.15.00;149571,65625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 04.30.00;2024-11-20 11.30.00;149940,125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 04.30.00;2024-11-20 11.30.00;149249,0625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 04.30.00;2024-11-20 11.30.00;149555,53125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 04.45.00;2024-11-20 11.45.00;150209,203125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 04.45.00;2024-11-20 11.45.00;149619,6875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 04.45.00;2024-11-20 11.45.00;149920,015625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 05.00.00;2024-11-20 12.00.00;150715,109375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 05.00.00;2024-11-20 12.00.00;150014,953125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 05.00.00;2024-11-20 12.00.00;150355,625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 05.15.00;2024-11-20 12.15.00;150810,46875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 05.15.00;2024-11-20 12.15.00;149944,828125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 05.15.00;2024-11-20 12.15.00;150311,25;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 05.30.00;2024-11-20 12.30.00;150294,359375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 05.30.00;2024-11-20 12.30.00;149801,15625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 05.30.00;2024-11-20 12.30.00;150084,03125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 05.45.00;2024-11-20 12.45.00;150045,734375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 05.45.00;2024-11-20 12.45.00;149621,828125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 05.45.00;2024-11-20 12.45.00;149862,796875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 06.00.00;2024-11-20 13.00.00;149879,875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 06.00.00;2024-11-20 13.00.00;149182,703125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 06.00.00;2024-11-20 13.00.00;149552,6875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 06.15.00;2024-11-20 13.15.00;149341,265625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 06.15.00;2024-11-20 13.15.00;148546,078125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 06.15.00;2024-11-20 13.15.00;148870,953125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 06.30.00;2024-11-20 13.30.00;148881,25;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 06.30.00;2024-11-20 13.30.00;148394,640625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 06.30.00;2024-11-20 13.30.00;148633,21875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 06.45.00;2024-11-20 13.45.00;148689,1875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 06.45.00;2024-11-20 13.45.00;148341,34375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 06.45.00;2024-11-20 13.45.00;148510,8125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 07.00.00;2024-11-20 14.00.00;148843,328125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 07.00.00;2024-11-20 14.00.00;148392,3125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 07.00.00;2024-11-20 14.00.00;148610,546875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 07.15.00;2024-11-20 14.15.00;148958,8125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 07.15.00;2024-11-20 14.15.00;148507,203125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 07.15.00;2024-11-20 14.15.00;148691,671875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 07.30.00;2024-11-20 14.30.00;149058,421875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 07.30.00;2024-11-20 14.30.00;148462,171875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 07.30.00;2024-11-20 14.30.00;148742,734375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 07.45.00;2024-11-20 14.45.00;149218,09375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 07.45.00;2024-11-20 14.45.00;148691,890625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 07.45.00;2024-11-20 14.45.00;148964,8125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 08.00.00;2024-11-20 15.00.00;149876,9375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 08.00.00;2024-11-20 15.00.00;149002,234375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 08.00.00;2024-11-20 15.00.00;149464,359375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 08.15.00;2024-11-20 15.15.00;149854,96875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 08.15.00;2024-11-20 15.15.00;149199,640625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 08.15.00;2024-11-20 15.15.00;149524,640625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 08.30.00;2024-11-20 15.30.00;149694,359375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 08.30.00;2024-11-20 15.30.00;149125,765625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 08.30.00;2024-11-20 15.30.00;149419,328125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 08.45.00;2024-11-20 15.45.00;149981,90625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 08.45.00;2024-11-20 15.45.00;149359,21875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 08.45.00;2024-11-20 15.45.00;149685,59375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 09.00.00;2024-11-20 16.00.00;150355,40625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 09.00.00;2024-11-20 16.00.00;149668,390625;"APF.P1";"Voltage L-L Avg Low";"V"
