Timestamp UTC;Timestamp;Value;Source;Measurement;Unit
2024-11-21 07.00.00;2024-11-21 14.00.00;151879,7031;APF.P1;Voltage L-L Avg High;V
2024-11-21 07.00.00;2024-11-21 14.00.00;151454,7813;APF.P1;Voltage L-L Avg Low;V
2024-11-21 07.00.00;2024-11-21 14.00.00;151675,5156;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 07.15.00;2024-11-21 14.15.00;151978,6563;APF.P1;Voltage L-L Avg High;V
2024-11-21 07.15.00;2024-11-21 14.15.00;151646,4688;APF.P1;Voltage L-L Avg Low;V
2024-11-21 07.15.00;2024-11-21 14.15.00;151799,4531;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 07.30.00;2024-11-21 14.30.00;152010,5156;APF.P1;Voltage L-L Avg High;V
2024-11-21 07.30.00;2024-11-21 14.30.00;151719,4219;APF.P1;Voltage L-L Avg Low;V
2024-11-21 07.30.00;2024-11-21 14.30.00;151848,0469;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 07.45.00;2024-11-21 14.45.00;152094,2188;APF.P1;Voltage L-L Avg High;V
2024-11-21 07.45.00;2024-11-21 14.45.00;151806,6875;APF.P1;Voltage L-L Avg Low;V
2024-11-21 07.45.00;2024-11-21 14.45.00;151963,6875;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 08.00.00;2024-11-21 15.00.00;152491,1094;APF.P1;Voltage L-L Avg High;V
2024-11-21 08.00.00;2024-11-21 15.00.00;151899,1406;APF.P1;Voltage L-L Avg Low;V
2024-11-21 08.00.00;2024-11-21 15.00.00;152167,5156;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 08.15.00;2024-11-21 15.15.00;152571,3125;APF.P1;Voltage L-L Avg High;V
2024-11-21 08.15.00;2024-11-21 15.15.00;152292,3125;APF.P1;Voltage L-L Avg Low;V
2024-11-21 08.15.00;2024-11-21 15.15.00;152424,1094;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 08.30.00;2024-11-21 15.30.00;152769,375;APF.P1;Voltage L-L Avg High;V
2024-11-21 08.30.00;2024-11-21 15.30.00;152312,3125;APF.P1;Voltage L-L Avg Low;V
2024-11-21 08.30.00;2024-11-21 15.30.00;152514,3125;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 08.45.00;2024-11-21 15.45.00;153132,5469;APF.P1;Voltage L-L Avg High;V
2024-11-21 08.45.00;2024-11-21 15.45.00;152498,8906;APF.P1;Voltage L-L Avg Low;V
2024-11-21 08.45.00;2024-11-21 15.45.00;152812,0781;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 09.00.00;2024-11-21 16.00.00;152998,7344;APF.P1;Voltage L-L Avg High;V
2024-11-21 09.00.00;2024-11-21 16.00.00;152382,3125;APF.P1;Voltage L-L Avg Low;V
2024-11-21 09.00.00;2024-11-21 16.00.00;152569,6719;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 09.15.00;2024-11-21 16.15.00;153059,0156;APF.P1;Voltage L-L Avg High;V
2024-11-21 09.15.00;2024-11-21 16.15.00;152219,1406;APF.P1;Voltage L-L Avg Low;V
